,file names,tên sách,tên tác giả,nhà xuất bản,tập,người dịch,tái bản
160,205.jpg,BÀI TẬP HÌNH HỌC 10,NGUYỄN MỘNG HY (Chủ biên) NGUYỄN VĂN ĐOÀNH - TRẦN ĐỨC HUYÊN,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
159,206.jpg,Mười vạn câu hồi sao Bơi lặn dưới nước (CÂU HỎI VÀ TRẢ LỜI)  ,,TẢI NHÀ XUẤT CẦU THỊ GIỚI  ,,Ngọc Khánh dịch  ,
158,207.jpg,"NHỮNG PHƯƠNG THUỘC HAY ""RAU CÓ TRỊ BỆNH""  ",,,,,
168,208.jpg,"ÔN TẬP, KIỂM TRA NĂNG LỰC MÔN TOÁN LỚP 12 (THEO HÌNH THỨC TỰ LUẬN VÀ TRẮC NGHIỆM)  ",,,,,
167,209.jpg,"SỐ TAY TOÁN THPT GIÚP TRÍ NHỚ MÔN TOÁN TRUNG HỌC PHỔ THÔNG Thuận lợi cho học sinh lớp 10, 11, 12 ôn tập và luyện thi Đại học Trình bày rõ, gọn giúp học sinh chính  ",LÊ ĐÌNH CHÂU  ,,,,
204,21.jpg,nghệ thuật Sống  ,CHU PHẠM LÂM DƯƠNG TIỂU VÂN - TRIỆU VĂN TÂM  ,,,,
166,210.jpg,BÀI TẬP TÍCH GIAI 12  ,VŨ TUẤN (Chủ biên) - LÊ THỊ THIÊN HƯƠNG - NGUYỄN THU NGA PHẠM PHU-NGUYỄN TIẾN TÀI - CẤN VĂN TUẤT  ,NHÀ XUẤT BẢN GIÁO DỤC  ,,,
165,211.jpg,Giải nhanh MẤY TÍNH 2Z PW MON TOÀN  ,,,,,
164,212.jpg,Phương pháp học tập hiệu quả  ,,NHÀ XUẤT BẢN TỔNG HỢP TP.HỒ CHÍ MINH  ,,,
174,213.jpg,phương phúp giải TÔ HƠP LUYỆN PHÉP ĐẾM-HOÁN VỊ TÔ HỢP - CHÍNH HỢP THI NHỊ THỨC NEWTON Đ XÁC SUẤT  ,,NHÀ XUẤT BẢN ĐÀ NẪNG  ,,,
173,214.jpg,THUẬT TOÁN CASIO GIẢI CHUYÊN ĐỀ HÀM SỐ  ,Trần Hoài Thanh  ,,,,
172,215.jpg,NGHỀ CỔ TRUYỀN  ,,NHÀ XUẤT BẢN THỜI ĐẠI  ,,,
171,216.jpg,100 dàn bài chi tiết Làm văn 7,LÊ THỊ MỸ TRINH - NGUYỄN LY NA LÊ MỸ TRANG,Nhà xuất bản Đại học Quốc gia Hà Nội,,,
170,217.jpg,Cảnh NGỨA MẮT CHỐN ĐÔNG NGƯỜI,NGUYỄN KHOA ĐĂNG,NHÀ XUẤT BẢN VĂN NGHỆ,,,
169,218.jpg,HƯỚNG DẪN TỰ GIẢI BÀI TẬP TOÁN ĐẠI SỐ 8,NGUYỄN NGỌC TRANG,,,,
180,219.jpg,SINH HỌC 12,,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
203,22.jpg,DANH NHÂN ĐẤT VIỆT,,NHÀ XUẤT BẢN VĂN HỌC,,,
179,220.jpg,TỪ ĐIỂN VĂN HỌC PHỔ THÔNG,ĐẶNG TRƯỜNG,NHÀ XUẤT BẢN VĂN HOÁ - THÔNG TIN,,,
178,221.jpg,KHO TÀNG VĂN HỌC DÂN GIAN VIỆT NAM Truyện Trạng,PHAN DIÊN VỸ - SƠN HÀ - NGUYỄN GIAO CƯ Biên soạn,NHÀ XUẤT BẢN ĐÀ NẴNG,,,
177,222.jpg,GIẢI BÀI TẬP GIẢI TÍCH 12,DƯƠNG ĐỨC KIM - ĐỖ DUY ĐỒNG,NHÀ XUẤT BẢN TỔNG HỢP THÀNH PHỐ HỒ CHÍ MINH,,,(Tái bản lần thứ nhất)
176,223.jpg,Tuyệt phẩm khởi động KÌ THI THPT QUỐC GIA TIẾNG ANH,CAO THỊ THU GIANG - CAO THỊ HỒNG PHƯƠNG,NHÀ XUẤT BẢN TỔNG HỢP THÀNH PHỐ HỒ CHÍ MINH,,,
175,224.jpg,GIẢI BÀI TẬP SINH HỌC 12,PGS. TS TRỊNH NGUYÊN GIAO - LÊ TUẤN NGỌC,NHÀ XUẤT BẢN ĐẠI HỌC QUỐC GIA HÀ NỘI,,,
185,225.jpg,GIẢI TÍCH 12 NÂNG CAO,,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
184,226.jpg,LỊCH SỬ SÁCH GIÁO VIÊN 12,,NHÀ XUẤT BẢN GIÁO DỤC,,,
183,227.jpg,BÀI GIẢNG & LỜI GIẢI CHI TIẾT Sinh học 11,PHAN KHẮC NGHỆ,NHÀ XUẤT BẢN ĐẠI HỌC QUỐC GIA HÀ NỘI,,,
182,228.jpg,BỒI DƯỠNG HỌC SINH GIỎI SINH HỌC,PHAN KHẮC NGHỆ - TRẦN MẠNH HÙNG,NHÀ XUẤT BẢN ĐẠI HỌC QUỐC GIA HÀ NỘI,,,(Tái bản lần thứ nhất)
181,229.jpg,NHỮNG BÀI VĂN NGHỊ LUẬN XÃ HỘI,HOÀNG ĐỨC HUY,NHÀ XUẤT BẢN ĐẠI HỌC SƯ PHẠM,,,
215,23.jpg,Cơ sở văn hoá VIỆT NAM,TRẦN QUỐC VƯỢNG (Chủ biên) TÔ NGỌC THANH NGUYỄN CHÍ BỀN LÂN MỸ DUNG TRẦN THUÝ ANH,,,,
190,230.jpg,TRẮC NGHIỆM SINH HỌC,PHAN VĂN NHÂN,NHÀ XUẤT BẢN ĐẠI HỌC QUỐC GIA TP HỒ CHÍ MINH,,,
189,231.jpg,HƯỚNG DẪN ÔN TẬP KÌ THI TRUNG HỌC PHỔ THÔNG QUỐC GIA NĂM HỌC 2014 - 2015 môn NGỮ VĂN,NGUYỄN DUY KHA (Chủ biên) NGUYỄN PHƯỢNG - NGÔ VĂN TUẤN,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
188,232.jpg,Những Bài Làm Văn Hay 12,NGUYỄN BÍCH THUẬN HUỲNH TẤN KIM KHÁNH,,,,
187,233.jpg,Sinh học 11 NÂNG CAO,,NHÀ XUẤT BẢN GIÁO DỤC,,,
186,234.jpg,THÁM TỬ LỪNG DANH CONAN,Gosho AOYAMA  ,NHÀ XUẤT BẢN KIM ĐỒNG,34,Nhiều người dịch,
214,24.jpg,Cách mạng công nghiệp lần thứ tư,Klaus Schwab  ,,,,
213,25.jpg,GIẢI TOÁN VÀ TRẮC NGHIỆM VẬT LÍ 10 NÂNG CAO,BÙI QUANG HÂN - NGUYỄN DUY HIỀN - NGUYỄN TUYẾN,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,TẬP MỘT CƠ HỌC,,
212,26.jpg,Giáo trình QUẢN TRỊ HẬU CẦN,PGS.TS. Lê Công Hoa,NHÀ XUẤT BẢN ĐẠI HỌC KINH TÊ QUỐC DÂN,,,
211,27.jpg,GIẢI BÀI TẬP VẬT LÍ 11 (CHƯƠNG TRÌNH NÂNG CAO),VŨ THỊ PHÁT MINH - CHÂU VĂN TẠO - NGUYỄN HOÀNG HƯNG - VÕ THỊ MAI THUẬN,NHÀ XUẤT BẢN ĐẠI HỌC QUỐC GIA HÀ NỘI,,,
210,28.jpg,DORAEMON,Fujiko-F-Fujio  ,KIM ĐỒNG,4,,
209,29.jpg,Bài tập VẬT LÍ 11 Nâng  cao,,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
194,3.jpg,BÀI TẬP HÌNH HỌC 12,,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
221,30.jpg,BÀI TẬP HÌNH HỌC 12,,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
220,31.jpg,Giải mã tính cách,,NHÀ XUẤT BẢN VĂN HÓA THÔNG TIN,Tập 2,DƯƠNG MINH HÀO (Biên dịch),
219,32.jpg,1000 CÂU TRẮC NGHIỆM TIẾNG ANH 9,NGUYỄN THỊ CHI (Chủ biên) NGUYÊN HỮU CƯƠNG  ,NHÀ XUẤT BẢN ĐẠI HỌC QUỐC GIA TP HỒ CH MINH,,,
218,33.jpg,100 BÀI VĂN HAY BỒI DƯỠNG HỌC SINH KH GIỎI 10,Tuyển tập,NHÀ XUẤT BẢN ĐẠI HỌC QUỐC GIA TP HỒ CH MINH,,,
217,34.jpg,KHỞI SỰ KINH DOANH ,Đồng chủ biên: PGS.TS. Nguyễn Thị Ngọc Huyền TS.Ng Thị Việt Nga,,,,
216,35.jpg,BÀI TẬP TIẾNG ANH 11 NÂNG CAO,TÚ ANH Chủ biên PHAN HÀ - HUỲNH ĐỒNG HẢI - MAI VI PHƯƠNG - TRẦN VĂN SINH,NHÀ XUẤT BẢN GIÁO DỤC  ,,,
227,36.jpg,CHUYẾN ĐI BÃO TÁP,ADAM LASHINSKY  ,,,Nguyễn Thụy Khánh Chương dịch,
226,37.jpg,Tuyển chọn 153 BI VĂN HAY BỒI DƯỠNG HỌC SINH KHÁ GIỎI 10,TA ĐỨC HIỂN - TS. NGUYỄN VIỆT NGA TS PHẠM MINH TỨ - ThS NGUYỄN NHẬT HOA,NHÀ XUẤT BẢN HÀ NỘI,,,
225,38.jpg,CÁC DẠNG ĐỀ và BÀI LÀM VĂN CHỌN LỌC Ngữ Văn 10,NGUYỄN VĂN BÌNH,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
224,39.jpg,GIẢI BÀI TẬP VẬT LÍ 10 Chương trình chuẩn,ThS NGUYỄN THANH HẢI,,,,(Tái bản lần thứ ba)
193,4.jpg,KHONG G GIA ĐINH  ,,,,,
223,40.jpg,BÌNH GIẢNG 45 TÁC PHẨM VĂN HỌC NGỮ VĂN 10,NGUỄN THỊ THANH HƯƠNG (Chủ biên) NGUỄN THANH BÌNH - NGUYỄN ĐỨC KHUÔNG - ĐỖ NGUYỄN THƯƠNG (Giới thiệu và tuyển chọn)  ,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
222,41.jpg,KIỂM TRA ĐÁNH GIÁ THƯỜNG XUYÊN VỀ ĐỊNH KÌ MÔN NGỮ VĂN 10 ,,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
232,42.jpg,236 BÀI LUẬN MẪU TIẾNG ANH TRONG CÁC KỲ THI TOEFL VÀ IELTS  ,,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,Trần Mạnh Tưởng: biên dịch  ,
231,43.jpg,CC DẠNG BI TẬP & PHƯƠNG PHP GIẢI VẬT L 12  ,,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
233,44.JPG,1 30 CÂU ĐÀM THOẠI TIẾNG NHẬT  ,,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
230,44.jpg,1 30 CÂU ĐÀM THOẠI TIẾNG NHẬT  ,,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
229,45.jpg,PHƯƠNG PHÁP GIẢI TOÁN Tiếp tuyến  ,,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
228,46.jpg,ĐẮC INTERNATIONAL BEST SELLER NHAN How to Win Friends & Influence People  DALE CARNEGIE  ,, ,,NGUYỄN VÂN PHƯỚC dịch  ,
0,47.jpg,DORAEMON VOL.14 NOBITA VÀ BA CHÀNG HIỆP SĨ MỘNG MƠ  ,Fujiko-F-Fujio  ,,,,
8,48.jpg,DORAEMON VOL.18 NOBITA DU HÀNH BIỂN PHƯƠNG NAM  ,Fujiko-F-Fujio  ,,,,
7,49.jpg,DORAEMON ĐỚNG HỌC TẬP  CÁCH GIẢI TOÁN NHANH  ,,,,,
192,5.jpg,TÔI ĐI HỌC  ,NGUYỄN NGỌC KÝ,,,,
5,50.jpg,Bí mật của MAY MẮM  ,BOOK OF THE YEAR 2004  ,NHÀ XUẤT BẢN TỔNG HỢP TP.HCM  ,,,
1,51.jpg,BÍ QUYẾT HỌC NHANH NHỚ LÂU SMARTER STUDY SKILLS  ,MEMOKY STUDY  JONATHAN HANCOCK  ,,,,
15,52.jpg,"Nghệ thuật sống tự tin BRYAN ROBINSON, Ph.D 2  The contaent Art Living  ",,NHÀ XUẤT BẢN TRẺ  ,,,
14,53.jpg,CÂM NANG TƯ DUY PHÂN TÍCH THE THINKER'S GUIDE TO ANALYTIC THINKING  ,RICHARD PAUL-LINDA ELDER  ,NHÀ XUẤT BẢN ĐẠI HỌC QUỐC GIA TP HỒ CHÍ MINH,,,
13,54.jpg,tôi thấy hoa vàng trên cỏ xanh  ,nguyễn nhật ánh  ,NHÀ XUẤT BẢN TRẺ  ,,,In lần thứ 31  
12,55.jpg,ngồi khóc trên cây,nguyễn nhật ánh  ,NHÀ XUẤT BẢN TRẺ  ,,,In lần thứ mười ba  
11,56.jpg,"TUYÂN TẬP ĐỀ THI  MÔN Tiếng ANH ĐẠI HỌC, CAO ĐẲNG IIII NG ISH NHÀ XUẤT BẢN ĐẠI HỌC QUỐC GIA HÀ NỘI  ",,,,,
10,57.jpg,hoa hồng xứ khác  ,nguyễn nhật ánh  ,NHÀ XUẤT BẢN TRẺ  ,,,In lần thứ 30  
9,58.jpg,cho tôi xin một vé đi tuổi thơ  ,nguyễn nhật ánh  ,NHÀ XUẤT BẢN TRẺ  ,,,In lần thứ 63  
21,59.jpg,mắt biếc  ,nguyễn nhật ánh  ,NHÀ XUẤT BẢN TRẺ  ,,,In lần thứ 39  
191,6.jpg,EDITION BÍ MẬT TƯ DUY TRIỆU PHU  ,T. Harv Eker  ,NHÀ XUẤT BẢN TRẺ  ,,,
20,60.jpg,buổi chiều windows  ,nguyễn nhật ánh  ,,,,
19,61.jpg,bồ câu không đưa thư  ,nguyễn nhật ánh  ,NHÀ XUẤT BẢN TRẺ  ,,,In lần thứ ba mươi  
18,62.jpg,nữ sinh  ,nguyễn nhật ánh  ,NHÀ XUẤT BẢN TRẺ  ,,,
17,63.jpg,trại hoa vàng  ,nguyễn nhật ánh  ,NHÀ XUẤT BẢN TRẺ  ,,,In lần thứ hai mươi bảy
16,64.jpg,bảy bước nhảy tới mùa hè,nguyễn nhật ánh  ,NHÀ XUẤT BẢN TRẺ  ,,,In lần thứ 9  
27,65.jpg,cây chuối non đi giày xanh ,nguyễn nhật ánh  ,NHÀ XUẤT BẢN TRẺ  ,,,
26,66.jpg,Cô gái đến từ hôm qua,nguyễn nhật ánh  ,NHÀ XUẤT BẢN TRẺ  ,,,lần thứ 42  
25,67.jpg,800 BÀI TẬP TRẮC NGHIỆM VẬT LÍ 11 12  ,,NHÀ XUẤT BẢN ĐẠI HỌC QUỐC GIA HÀ NỘI  ,,,
24,68.jpg,Tổng tập ĐỀ THI OLYMPIC 30 tháng 4  ,,NHÀ XUẤT BẢN ĐẠI HỌC QUỐC GIA HÀ NỘI  ,,,
23,69.jpg,BỘ ĐỀ TRẮC NGHIỆM LUYỆN THI TRUNG HỌC PHỔ THÔNG QUỐC GIA NĂM 2019 KHOA HỌC TỰ NHIÊN  ,LỚ TRỌNG HUYỀN - LÊ ĐÌNH TRUNG - VŨ ĐÌNH TUÝ (đồng Chủ biên) ĐOÀN CẢNH GIANG - VŨ THANH KHIẾT - NGUYÊN THỊ QUYỀN NGUYÊN TRỌNG SỬU - NGUYÊN MINH TUẤN - BÙI THANH VÂN  ,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
202,7.jpg,BÍ QUYẾT HỌC NHANH NHỚ LÂU SMARTER STUDY SKILLS  ,MEMORY STUDY  JONATHAN HANCOCK  ,NHÀ XUẤT BẢN ĐẠI HỌC QUỐC GIA TP HỒ CH MINH,,,
22,70.jpg,HƯỚNG DÂN SỬ DỤNG VÀ GIẢI TOÁN TRÊN MÁY TÍNH CASIO fx-500VN PLUS DÀNG CHO LỚP 6-7-8-9  ,NGUYÊN THẾ THẠCH - NGUYÊN TRƯỌNG CHẤNG  ,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
34,71.jpg,CHUYÊN ĐỀ BỒI DƯỠNG HỌC SINH GIỎI GIẢI TOÁN TRÊN MÁY TÍNH CẦM TAY CASIO 570VN PLUS DÀNH CHO HỌC SINH TRUNG HỌC PHỔ THÔNG  ,,,,,
33,72.jpg,BỘ ĐỀ LUYỆN THI TRUNG HỌC PHỔ THÔNG QUỐC GIA NĂM 2019 MÔN NGỮ VĂN  ,ĐỖ NGỌC THỐNG (Chủ biên) PHẠM THỊ THU HIẾN - PHẠM THỊ HUỆ  ,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM  ,,,
32,73.jpg,BỘ ĐỀ TRẮC NGHIỆM LUYỆN THI  TRUNG HỌC PHỔ THÔNG QUỐC GIA NĂM 2017 môn TIẾNG ANH  ,NGUYÊN HỮU CƯƠNG (Chủ biên) NGUYÊN THU HIÀN H“ HUYÀN B™I TR VŨ NAM  ,NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM,,,
31,74.jpg,Hãy là Người lãnh đạo  ,Teo Aik Cher  ,NHÀ XUẤT BẢN tổNG HỢP THÀNH PHỐ HỒ CHÍ MINH ,,PHẠM HOA PHƯỢNG dỊch  ,
30,75.jpg,ĐỘT PHÁ MÔN HÓA HỌC KÌ THI THPT QUỐC GIA  ,Phạm ThỊ Kim Ngân Nguyễn ThỊ Quỳnh Thơ  ,,,,(Tái bản lần thứ nhất)  
29,76.jpg,ĐỘT PHÁ 8 MÔN VẬT LÍ KỌ THI THPT QUỐC GIA  ,Nguyễn Văn Tuyên TrỊnh Lê Hoàng  ,,,,(Tái bản lần thứ nhất)  
28,77.jpg,CÁC BÀI LUÂN MẪU TIẾNG ANH ,,NHÀ XUẤT BẢN HỒNG ĐỨC,,,
40,78.jpg,CẨM NANG PHÁT TRIỂN TỪ DUY TOÀN HỌC  ,,NHA XUẤT BẢN VĂN HÓA-THÔNG TIN  ,,,
39,79.jpg,NAM CỰC BẮC CỰC  ,Lời Jang Kii Soo Tranh Kim Young Goo Tổ chức Hoàng Văn Việt  ,NHÀ XUẤT BẢN GIÁO DỤC  ,,,
201,8.jpg,cạo gió TRỊ LIỆU 40 BỆNH THƯỜNG GẶP  ,,NHÀ XUẤT BẢN THANH HÓA  ,,,
38,80.jpg,KHỔNG LỒ LỬA  ,XUÂN MINH  ,NHÀ XUẤT BẢN VÂN HÓA - THÔNG TIN  ,,XUÂN MINH tuyến dỊch  ,
37,81.jpg,GIẢI BÀI TẬP HÌNH HỌC chương trình chuẩn 10 A F 2  ,TS. VŨ THẾ HỰU - NGUYÊN VĨNH CẬN DƯƠNG ĐỨC KIM - ĐỖ DUY ĐỒNG  ,,,,(Tái bản lần thứ tư)  
36,82.jpg,One Minute for Father Phút DÀNH CHO Cha  ,"Spencer Johnson, M.D.",NHÀ XUẤT BẢN TỔNG HỢP TP.HCM ,,,
35,83.jpg,CON SẼ LÀM ĐƯỢC  ,,NHÀ XUẤT BẢN TỔNG HỢP TP.HCM ,,,
47,84.jpg,Những việc thanh niên nên làm  ,,NHÀ XUẤT BẢN VĂN HÓA THÔNG TIN ,,,
46,85.jpg,Những việc thanh niên không nên làm ,NGÔ TIN BIÊN SOẠN,NHÀ XUẤT BẢN TỔNG HỢP TP.HCM ,,,
45,86.jpg,CUỘC SỐNG KHÔNG GIỚI HẠN  NICK VUJICIC  ,Life Without Limits  ,NHÀ XUẤT BẢN TỔNG HỢP TP.HCM ,,,
44,87.jpg,CÁC LUÂT TỔ CHỨC NHÀ NƯỚC NƯỚC CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM  ,,NHÀ XUẤT BẢN CHÍNH TRỊ QUỐC GIA  ,,,
43,88.jpg,HỎI ĐÁP PHÁP LUẬT và THỪA KẾ  ,,NHÀ XUẤT BẢN CÔNG AN NHÂN DÂN  ,,,
42,89.jpg,CÁC VĂN BẢN PHÁP LUẬT VÀ TỐ CHỨC  HOAT ĐỘNG CỦA BỘ MÁY HÀNH CHÍNH NHÀ NƯỚC  ,,NHÀ XUẤT BẢN CHÍNH TRỊ QUỐC GIA  ,,,
200,9.jpg,BÀI TẬP TIẾNG ANH 11  ,,NHÀ XUẤT BẢN GIÁO DỤC  ,,,
41,90.jpg,NHÀ NƯỚC PHÁP LUẬT  ,TS TRẦN HẬU THÀNH-TS NGUYÊN THẾ THUẤN  ,NHÀ XUẤT BẢN LÍ LUẬN CHÍNH TRỊ,,,
54,91.jpg,HỎI & ĐÁP NHÀ NƯỚC và PHÁP LUẬT ,TS TRẦN HẬU THÀNH-TS NGUYÊN THẾ THUẤN  ,NHÀ XUẤT BẢN LÍ LUẬN CHÍNH TRỊ,,,
53,92.jpg,GIÁO TRÌNH XÃ HỘI HỌC TRONG QUẢN LÝ,,NHÀ XUẤT BẢN LÍ LUẬN CHÍNH TRỊ,,,
52,93.jpg,TIÌM HIỂU TRIẾT HỌC MÁC-LÊNIN,PGS. TS TRẦN VĂN PHÒNG (Chủ biên) GS.TS PHẠM NGỌC QUANG - PSG. TS NGUYỄN THẾ KIỆT,NHÀ XUẤT BẢN LÍ LUẬN CHÍNH TRỊ,,,
51,94.jpg,Chính trị và phát triển TỪ THỰC TIỄN THỜI KÌ ĐỔI MỚI Ở CÁC TỈNH DUYÊN HẢI MIỀN TRUNG VIỆT NAM,"PGS, TS HỒ TẤN SANG  ",NHÀ XUẤT BẢN LÍ LUẬN CHÍNH TRỊ,,,
50,95.jpg,TÌM HIỂU MÔN HỌC CHỦ NGHĨA XÃ HỘI KHOA HỌC,PGS. TS ĐỖ THỊ THẠCH (Chủ biên) PGS. TS NGUYỄN ĐỨC BÁCH - TS. NGUYỄN THỊ NGÂN,NHÀ XUẤT BẢN LÍ LUẬN CHÍNH TRỊ,,,
49,96.jpg,LÍ LUẬN CHUNG Về nhà nước và pháp luật,,NHÀ XUẤT BẢN LÍ LUẬN CHÍNH TRỊ,,,
48,97.jpg,DORAEMON VOL.22 NOBITA VÀ VƯƠNG QUỐC ROBOT  ,Fujiko-F-Fujio  ,,,,
60,98.jpg,DORAEMON TUYỂN TẬP THEO CHỦ ĐỀ,Fujiko F-Fujio  ,,2,,
59,99.jpg,DORAEMON Chú mèo máy đến từ tương lai,Fujiko-F-Fujio  , ,27,,
